,Name,State,Category,Policy/Incentive Type,URL,Created,Last Updated
0,Successor Solar Incentive (SuSI) Program - Administratively Determined Incentive,NJ,Financial Incentive,Performance-Based Incentive,https://programs.dsireusa.org/system/program/detail/22418/successor-solar-incentive-susi-program-administratively-determined-incentive,10/01/2021,05/02/2023
1,AES OHIO - Residential Energy Efficiency Rebate Program,OH,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/3755/aes-ohio-residential-energy-efficiency-rebate-program,11/10/2009,04/28/2023
2,Piedmont EMC - Residential Energy Efficiency Rebate Program,NC,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/2121/piedmont-emc-residential-energy-efficiency-rebate-program,09/05/2006,04/27/2023
3,South River EMC - Solar Water Heating Rebate Program,NC,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/3351/south-river-emc-solar-water-heating-rebate-program,04/20/2009,04/27/2023
4,Orange and Rockland Utilities (Electric) - Energy Efficiency Program,NY,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/5011/orange-and-rockland-utilities-electric-energy-efficiency-program,01/14/2010,04/27/2023
5,Orange and Rockland Utilities (Gas) - Residential Efficiency Program,NY,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/3905/orange-and-rockland-utilities-gas-residential-efficiency-program,01/14/2010,04/27/2023
6,Orange and Rockland Utilities (Electric) - Commercial Efficiency Programs,NY,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/4644/orange-and-rockland-utilities-electric-commercial-efficiency-programs,02/17/2011,04/27/2023
7,National Grid (Gas) - Commercial Energy Efficiency Rebate Programs (Metro New York),NY,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/4371/national-grid-gas-commercial-energy-efficiency-rebate-programs-metro-new-york,10/05/2010,04/19/2023
8,El Paso Electric Company - Residential Efficiency Program,NM,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/3842/el-paso-electric-company-residential-efficiency-program,12/15/2009,04/19/2023
9,Central New Mexico Electric Cooperative - Residential Energy Efficiency Rebate Program,NM,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/2599/central-new-mexico-electric-cooperative-residential-energy-efficiency-rebate-program,06/06/2007,04/14/2023
10,Xcel Energy - Residential Energy Efficiency Rebate Program,NM,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/4079/xcel-energy-residential-energy-efficiency-rebate-program,04/08/2010,04/14/2023
11,New Hampshire Electric Co-op - Residential Energy Efficiency Rebate Programs,NH,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/2163/new-hampshire-electric-co-op-residential-energy-efficiency-rebate-programs,09/14/2006,04/14/2023
12,Liberty Utilities (Gas) - Residential Energy Efficiency Programs,NH,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/22080/liberty-utilities-gas-residential-energy-efficiency-programs,05/14/2019,04/14/2023
13,Unitil (Electric) - Residential Energy Efficiency Programs,NH,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/1373/unitil-electric-residential-energy-efficiency-programs,04/18/2006,04/13/2023
14,Unitil (Gas) - Commercial and Industrial Energy Efficiency Programs,NH,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/4820/unitil-gas-commercial-and-industrial-energy-efficiency-programs,12/27/2007,04/13/2023
15,Southwest Gas Corporation - Residential Energy Efficiency Rebate Program,NV,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/3954/southwest-gas-corporation-residential-energy-efficiency-rebate-program,02/03/2010,04/13/2023
16,Southwest Gas Corporation - Solar Water Heating Program,NV,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/3996/southwest-gas-corporation-solar-water-heating-program,02/23/2010,04/13/2023
17,NV Energy - Solar Thermal Heating Program,NV,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/4590/nv-energy-solar-thermal-heating-program,02/01/2011,04/13/2023
18,NV Energy - Energy Storage Incentive Program,NV,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/22075/nv-energy-energy-storage-incentive-program,03/27/2019,04/13/2023
19,Flathead Electric Cooperative - Residential Energy Efficiency Rebate Program,MT,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/2178/flathead-electric-cooperative-residential-energy-efficiency-rebate-program,09/15/2006,04/12/2023
20,Flathead Electric Cooperative - New and Manufactured Home Incentive Program,MT,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/2179/flathead-electric-cooperative-new-and-manufactured-home-incentive-program,09/15/2006,04/12/2023
21,Southern Minnesota Municipal Power Agency - (17 Municipal Utilities) - Residential Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/2592/southern-minnesota-municipal-power-agency-17-municipal-utilities-residential-energy-efficiency-rebate-program,06/01/2007,04/12/2023
22,Georgia Power - Home Energy Improvement Program,GA,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/3175/georgia-power-home-energy-improvement-program,12/11/2008,04/12/2023
23,Georgia Power - Energy Assistance for Savings & Efficiency (EASE),GA,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/22509/georgia-power-energy-assistance-for-savings-efficiency-ease,04/12/2023,04/12/2023
24,Missouri River Energy Services (25 Member Cooperatives) - Residential Energy Efficiency Rebate,MN,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/5143/missouri-river-energy-services-25-member-cooperatives-residential-energy-efficiency-rebate,02/03/2012,04/11/2023
25,Minnesota Power - Residential Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/1522/minnesota-power-residential-energy-efficiency-rebate-program,05/26/2006,04/11/2023
26,Xcel Energy (Electric and Gas) - Residential Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/4813/xcel-energy-electric-and-gas-residential-energy-efficiency-rebate-program,06/12/2006,04/11/2023
27,Alabama Power - Smart Thermostat Reimbursement,AL,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/22483/alabama-power-smart-thermostat-reimbursement,12/20/2022,04/07/2023
28,Hudson Light & Power - Photovoltaic Incentive Program,MA,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/5189/hudson-light-power-photovoltaic-incentive-program,06/04/2012,04/07/2023
29,Dominion Energy - Residential Energy Efficiency Rebate Programs,UT,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/2688/dominion-energy-residential-energy-efficiency-rebate-programs,08/20/2007,04/07/2023
30,Dominion Energy - Home Builder Gas Appliance Rebate Program,UT,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/2690/dominion-energy-home-builder-gas-appliance-rebate-program,08/20/2007,04/07/2023
31,Concord Municipal Light Plant - Solar Photovoltaic Rebate Program,MA,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/3728/concord-municipal-light-plant-solar-photovoltaic-rebate-program,08/01/2009,04/06/2023
32,City of Tallahassee Utilities - Solar Loans,FL,Financial Incentive,Loan Program,https://programs.dsireusa.org/system/program/detail/1777/city-of-tallahassee-utilities-solar-loans,07/13/2006,04/06/2023
33,Lakeland Electric - Residential Conservation Rebate Program,FL,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/3616/lakeland-electric-residential-conservation-rebate-program,08/18/2009,04/06/2023
34,City of Tallahassee Utilities - Efficiency Loans,FL,Financial Incentive,Loan Program,https://programs.dsireusa.org/system/program/detail/4225/city-of-tallahassee-utilities-efficiency-loans,06/25/2010,04/06/2023
35,Minnesota Power - Residential New Construction Rebate Program,MN,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/3282/minnesota-power-residential-new-construction-rebate-program,02/19/2009,04/06/2023
36,Brainerd Public Utilities - Residential Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/22119/brainerd-public-utilities-residential-energy-efficiency-rebate-program,05/20/2020,04/06/2023
37,Rochester Public Utilities - Residential Conserve and Save Rebate,MN,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/2865/rochester-public-utilities-residential-conserve-and-save-rebate,02/07/2008,04/06/2023
38,Lakeland Electric - Residential Energy Efficiency Loan Program,FL,Financial Incentive,Loan Program,https://programs.dsireusa.org/system/program/detail/22120/lakeland-electric-residential-energy-efficiency-loan-program,05/21/2020,04/06/2023
39,Taunton Municipal Lighting Plant - Residential PV Rebate Program,MA,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/4282/taunton-municipal-lighting-plant-residential-pv-rebate-program,08/08/2010,04/06/2023
40,Upper Peninsula Power Company - Residential Programs,MI,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/4527/upper-peninsula-power-company-residential-programs,12/08/2009,04/05/2023
41,Consumers Energy (Electric) - Commercial Energy Efficiency Program,MI,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/4299/consumers-energy-electric-commercial-energy-efficiency-program,08/19/2010,04/05/2023
42,Reading Municipal Light Department - Residential Energy Efficiency Rebate Program,MA,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/1829/reading-municipal-light-department-residential-energy-efficiency-rebate-program,07/24/2006,04/05/2023
43,Pearl River Valley Electric Power Association - Residential Energy Efficiency Rebate Program,MS,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/2221/pearl-river-valley-electric-power-association-residential-energy-efficiency-rebate-program,09/19/2006,04/05/2023
44,Mississippi Power - Residential Energy Efficiency Rebate Program,MS,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/4261/mississippi-power-residential-energy-efficiency-rebate-program,07/22/2010,04/05/2023
45,Reading Municipal Light Department - Residential and Small Commercial Solar Rebate Program,MA,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/4605/reading-municipal-light-department-residential-and-small-commercial-solar-rebate-program,02/07/2011,04/05/2023
46,Cape Light Compact- Residential Energy Efficiency Rebate Program,MA,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/5782/cape-light-compact-residential-energy-efficiency-rebate-program,06/03/2015,04/05/2023
47,Holyoke Gas & Electric - Residential Energy Conservation Loan Program,MA,Financial Incentive,Loan Program,https://programs.dsireusa.org/system/program/detail/1337/holyoke-gas-electric-residential-energy-conservation-loan-program,04/12/2006,04/05/2023
48,Holyoke Gas & Electric - Commercial Energy Conservation Loan Program,MA,Financial Incentive,Loan Program,https://programs.dsireusa.org/system/program/detail/1338/holyoke-gas-electric-commercial-energy-conservation-loan-program,04/12/2006,04/05/2023
49,Mass Save - HEAT Loan Program,MA,Financial Incentive,Loan Program,https://programs.dsireusa.org/system/program/detail/2107/mass-save-heat-loan-program,09/01/2006,04/05/2023
50,Kentucky Power - Targeted Energy Efficiency Program,KY,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/3696/kentucky-power-targeted-energy-efficiency-program,09/23/2009,04/04/2023
51,Farmers RECC - Heat Pump Retrofit Rebate Program,KY,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/3264/farmers-recc-heat-pump-retrofit-rebate-program,02/11/2009,04/04/2023
52,Renewable Energy Systems Tax Credit (Personal),UT,Financial Incentive,Personal Tax Credit,https://programs.dsireusa.org/system/program/detail/83/renewable-energy-systems-tax-credit-personal,01/01/2000,04/03/2023
53,Taylor County RECC - Residential Energy Efficiency Rebate Program,KY,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/3262/taylor-county-recc-residential-energy-efficiency-rebate-program,02/11/2009,03/31/2023
54,Ames Electric Department - Residential Energy Efficiency Rebate Programs,IA,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/3241/ames-electric-department-residential-energy-efficiency-rebate-programs,01/30/2009,03/31/2023
55,Waverly Light & Power - Residential Energy Efficiency Rebates,IA,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/2896/waverly-light-power-residential-energy-efficiency-rebates,03/19/2008,03/31/2023
56,City of San Marcos - Commercial Lighting Retrofit Program,TX,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/22058/city-of-san-marcos-commercial-lighting-retrofit-program,07/26/2018,03/30/2023
57,City of San Marcos - Energy Efficient Home Rebate Program,TX,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/5118/city-of-san-marcos-energy-efficient-home-rebate-program,02/23/2012,03/30/2023
58,City of San Marcos - Distributed Generation Rebate Program,TX,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/5117/city-of-san-marcos-distributed-generation-rebate-program,02/23/2012,03/30/2023
59,Geothermal Heat Pump Tax Credit,IA,Financial Incentive,Personal Tax Credit,https://programs.dsireusa.org/system/program/detail/5188/geothermal-heat-pump-tax-credit,06/01/2012,03/29/2023
60,Central Hudson Gas & Electric (Gas) - Residential Energy Efficiency Rebate Program,NY,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/3475/central-hudson-gas-electric-gas-residential-energy-efficiency-rebate-program,07/01/2009,03/29/2023
61,Sawnee EMC - Residential Energy Efficiency Rebate Program,GA,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/2278/sawnee-emc-residential-energy-efficiency-rebate-program,09/24/2006,03/29/2023
62,ConEd - Residential Energy Efficiency Incentives Program,NY,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/3797/coned-residential-energy-efficiency-incentives-program,12/07/2009,03/29/2023
63,Renewable Energy Systems Exemption,OR,Financial Incentive,Property Tax Incentive,https://programs.dsireusa.org/system/program/detail/165/renewable-energy-systems-exemption,01/01/2000,03/29/2023
64,Efficiency Maine Appliance Rebate Program,ME,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/5324/efficiency-maine-appliance-rebate-program,10/15/2012,03/28/2023
65,Marshall County REMC - Residential Energy Efficiency Rebate Program,IN,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/2684/marshall-county-remc-residential-energy-efficiency-rebate-program,08/20/2007,03/28/2023
66,PECO Energy (Gas) - Residential Heating Efficiency Rebate Program,PA,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/3240/peco-energy-gas-residential-heating-efficiency-rebate-program,01/29/2009,03/28/2023
67,Sustainable Energy Utility (Electric & Gas) - Commercial and Multifamily Rebate Program,DC,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/5167/sustainable-energy-utility-electric-gas-commercial-and-multifamily-rebate-program,05/02/2012,03/28/2023
68,Alternative Fuel Vehicle Fee Reduction Program,AZ,Financial Incentive,Personal Tax Deduction,https://programs.dsireusa.org/system/program/detail/22147/alternative-fuel-vehicle-fee-reduction-program,05/20/2021,03/28/2023
69,Energy Storage Tax Credit,MD,Financial Incentive,Personal Tax Credit,https://programs.dsireusa.org/system/program/detail/22076/energy-storage-tax-credit,03/28/2019,03/28/2023
70,Duke Energy - NC Solar Rebate Program,NC,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/22063/duke-energy-nc-solar-rebate-program,09/24/2018,03/28/2023
71,San Isabel Electric Association - Residential Energy Efficiency Rebate Program,CO,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/5128/san-isabel-electric-association-residential-energy-efficiency-rebate-program,03/14/2012,03/28/2023
72,Empire District Electric - Residential Energy Efficiency Rebate,MO,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/2913/empire-district-electric-residential-energy-efficiency-rebate,04/11/2008,03/28/2023
73,Black Hills Energy - Residential Energy Efficiency Rebate Program,WY,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/3157/black-hills-energy-residential-energy-efficiency-rebate-program,11/24/2008,03/28/2023
74,Waverly Light & Power - Residential Solar Thermal Rebates,IA,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/4447/waverly-light-power-residential-solar-thermal-rebates,03/19/2008,03/28/2023
75,PECO Energy (Electric) - Residential Energy Efficiency Rebate Program,PA,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/4040/peco-energy-electric-residential-energy-efficiency-rebate-program,03/23/2010,03/28/2023
76,MidAmerican Energy - Residential Energy Efficiency Rebate Programs,IA,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/4735/midamerican-energy-residential-energy-efficiency-rebate-programs,07/14/2009,03/28/2023
77,Lower Valley Energy - Residential Energy Efficiency Rebate Program,WY,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/4713/lower-valley-energy-residential-energy-efficiency-rebate-program,03/25/2011,03/28/2023
78,Xcel Energy - Solar*Rewards Program,CO,Financial Incentive,Performance-Based Incentive,https://programs.dsireusa.org/system/program/detail/1255/xcel-energy-solar-rewards-program,12/06/2005,03/24/2023
79,Roaring Fork Valley - Energy Smart Colorado Renewable Energy Rebate Program,CO,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/846/roaring-fork-valley-energy-smart-colorado-renewable-energy-rebate-program,09/25/2002,03/24/2023
80,Eagle County - Energy Smart Colorado Energy Efficiency Rebate Program,CO,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/5452/eagle-county-energy-smart-colorado-energy-efficiency-rebate-program,03/27/2014,03/24/2023
81,San Miguel Power Association - Renewable Energy Rebate Program,CO,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/4292/san-miguel-power-association-renewable-energy-rebate-program,08/16/2010,03/24/2023
82,City of Boulder - Solar Sales and Use Tax Rebate,CO,Financial Incentive,Sales Tax Incentive,https://programs.dsireusa.org/system/program/detail/4082/city-of-boulder-solar-sales-and-use-tax-rebate,04/08/2010,03/24/2023
83,Sales and Use Tax Exemption for Renewable Energy Equipment,CO,Financial Incentive,Sales Tax Incentive,https://programs.dsireusa.org/system/program/detail/3397/sales-and-use-tax-exemption-for-renewable-energy-equipment,05/27/2009,03/24/2023
84,Renewable Energy Systems Property Tax Exemption,TX,Financial Incentive,Property Tax Incentive,https://programs.dsireusa.org/system/program/detail/173/renewable-energy-systems-property-tax-exemption,01/01/2000,03/24/2023
85,AEP Texas North Company - SMART Source Solar PV Rebate Program,TX,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/3669/aep-texas-north-company-smart-source-solar-pv-rebate-program,09/16/2009,03/24/2023
86,AEP Texas Central Company - SMART Source Solar PV Rebate Program,TX,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/3661/aep-texas-central-company-smart-source-solar-pv-rebate-program,09/15/2009,03/24/2023
87,Austin Energy - Residential Solar PV Rebate Program,TX,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/1088/austin-energy-residential-solar-pv-rebate-program,06/01/2004,03/24/2023
88,Austin Energy - Multifamily Solar PV Rebate Program,TX,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/22089/austin-energy-multifamily-solar-pv-rebate-program,06/05/2019,03/24/2023
89,Oncor Electric Delivery - Residential Solar Program,TX,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/3168/oncor-electric-delivery-residential-solar-program,12/09/2008,03/24/2023
90,Property Tax Exemption for Residential Solar Systems,NM,Financial Incentive,Property Tax Incentive,https://programs.dsireusa.org/system/program/detail/4043/property-tax-exemption-for-residential-solar-systems,03/24/2010,03/24/2023
91,Atmos Energy (Gas) - Energy Efficiency Rebate Program,CO,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/3306/atmos-energy-gas-energy-efficiency-rebate-program,03/23/2009,03/24/2023
92,Indianola Municipal Utilities - Energy Efficiency Rebate Program,IA,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/3105/indianola-municipal-utilities-energy-efficiency-rebate-program,10/30/2008,03/24/2023
93,PG&E - Residential Energy Savings Rebate Programs,CA,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/1428/pg-e-residential-energy-savings-rebate-programs,04/26/2006,03/24/2023
94,Dubois REC - Residential Energy Efficiency Rebate Program,IN,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/2671/dubois-rec-residential-energy-efficiency-rebate-program,08/13/2007,03/24/2023
95,SoCalGas - Multi-Family Residential Rebate Program,CA,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/2508/socalgas-multi-family-residential-rebate-program,05/02/2007,03/24/2023
96,E-ZPass Minnesota Electric Vehicle Incentive,MN,Financial Incentive,Other Incentive,https://programs.dsireusa.org/system/program/detail/22194/e-zpass-minnesota-electric-vehicle-incentive,06/09/2021,03/24/2023
97,Sustainable Energy Utility - Residential Energy Efficiency Rebate Program,DC,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/5399/sustainable-energy-utility-residential-energy-efficiency-rebate-program,03/20/2013,03/24/2023
98,Colorado Springs Utilities - Renewable Energy Rebate Program,CO,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/1276/colorado-springs-utilities-renewable-energy-rebate-program,01/16/2006,03/24/2023
99,City of Aspen - Rebate Program,CO,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/4714/city-of-aspen-rebate-program,03/28/2011,03/24/2023
100,Garland Power & Light - EnergySaver Energy Efficiency Rebate Programs,TX,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/3285/garland-power-light-energysaver-energy-efficiency-rebate-programs,02/24/2009,03/24/2023
101,Black Hills Energy (Electric) - Residential Energy Efficiency Program,CO,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/4281/black-hills-energy-electric-residential-energy-efficiency-program,08/05/2010,03/24/2023
102,Property Tax Exemption for Residential Renewable Energy Equipment,CO,Financial Incentive,Property Tax Incentive,https://programs.dsireusa.org/system/program/detail/4210/property-tax-exemption-for-residential-renewable-energy-equipment,06/16/2010,03/24/2023
103,New Jersey Comfort Partners Program,NJ,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/2890/new-jersey-comfort-partners-program,03/17/2008,03/24/2023
104,PNM EV Charger Rebate Program,NM,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/22406/pnm-ev-charger-rebate-program,08/23/2021,03/24/2023
105,Burlington Electric Department - Electric Vehicle Rebate Program,VT,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/22403/burlington-electric-department-electric-vehicle-rebate-program,08/23/2021,03/24/2023
106,Property Tax Exemption for Renewable Energy Equipment,RI,Financial Incentive,Property Tax Incentive,https://programs.dsireusa.org/system/program/detail/5882/property-tax-exemption-for-renewable-energy-equipment,08/01/2016,03/23/2023
107,Commercial Scale Renewable Energy Grants (Commerce RI),RI,Financial Incentive,Grant Program,https://programs.dsireusa.org/system/program/detail/5362/commercial-scale-renewable-energy-grants-commerce-ri,01/10/2013,03/23/2023
108,Small Scale Solar Grants (Commerce RI),RI,Financial Incentive,Grant Program,https://programs.dsireusa.org/system/program/detail/5361/small-scale-solar-grants-commerce-ri,01/10/2013,03/23/2023
109,Solar and Wind Equipment Sales Tax Exemption,AZ,Financial Incentive,Sales Tax Incentive,https://programs.dsireusa.org/system/program/detail/119/solar-and-wind-equipment-sales-tax-exemption,01/01/2000,03/23/2023
110,Mohave Electric Cooperative - Renewable Energy Incentive Program,AZ,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/4345/mohave-electric-cooperative-renewable-energy-incentive-program,09/21/2010,03/23/2023
111,Energy Equipment Property Tax Exemption,AZ,Financial Incentive,Property Tax Incentive,https://programs.dsireusa.org/system/program/detail/1683/energy-equipment-property-tax-exemption,06/26/2006,03/23/2023
112,Evergy Solar Rebate Program,MO,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/22143/evergy-solar-rebate-program,03/12/2021,03/23/2023
113,Empire District Electric - Solar PV Rebates,MO,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/5774/empire-district-electric-solar-pv-rebates,05/18/2015,03/23/2023
114,Columbia Water & Light - Solar Rebates,MO,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/2628/columbia-water-light-solar-rebates,07/12/2007,03/23/2023
115,Ameren Missouri Solar Rebate,MO,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/22144/ameren-missouri-solar-rebate,03/12/2021,03/23/2023
116,Renewable Energy Systems Tax Credit (Corporate),UT,Financial Incentive,Corporate Tax Credit,https://programs.dsireusa.org/system/program/detail/248/renewable-energy-systems-tax-credit-corporate,01/01/2000,03/22/2023
117,Energy Efficient Manufactured Homes Tax Credit,SC,Financial Incentive,Personal Tax Credit,https://programs.dsireusa.org/system/program/detail/3178/energy-efficient-manufactured-homes-tax-credit,12/11/2008,03/21/2023
118,Energy Efficient Manufactured Homes Sales Tax Incentive,SC,Financial Incentive,Sales Tax Incentive,https://programs.dsireusa.org/system/program/detail/2834/energy-efficient-manufactured-homes-sales-tax-incentive,12/20/2006,03/21/2023
119,Residential Solar Tax Credit,NY,Financial Incentive,Personal Tax Credit,https://programs.dsireusa.org/system/program/detail/80/residential-solar-tax-credit,01/01/2000,03/21/2023
120,Refundable Clean Heating Fuel Tax Credit (Personal),NY,Financial Incentive,Personal Tax Credit,https://programs.dsireusa.org/system/program/detail/3203/refundable-clean-heating-fuel-tax-credit-personal,01/09/2009,03/21/2023
121,Questar Gas - Residential Energy Efficiency Rebate Programs,WY,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/4774/questar-gas-residential-energy-efficiency-rebate-programs,08/20/2007,03/21/2023
122,Sales and Use Tax Exemption for Community Renewable Energy Projects,NE,Financial Incentive,Sales Tax Incentive,https://programs.dsireusa.org/system/program/detail/2576/sales-and-use-tax-exemption-for-community-renewable-energy-projects,05/31/2007,03/20/2023
123,Sales and Use Tax Exemption for Solar and Geothermal Systems,CT,Financial Incentive,Sales Tax Incentive,https://programs.dsireusa.org/system/program/detail/2613/sales-and-use-tax-exemption-for-solar-and-geothermal-systems,06/21/2007,03/20/2023
124,Local Option - Property Tax Exemption for Renewable Energy Systems,CT,Financial Incentive,Property Tax Incentive,https://programs.dsireusa.org/system/program/detail/5423/local-option-property-tax-exemption-for-renewable-energy-systems,01/01/2000,03/20/2023
125,Property Tax Exemption for Renewable Energy Systems,CT,Financial Incentive,Property Tax Incentive,https://programs.dsireusa.org/system/program/detail/240/property-tax-exemption-for-renewable-energy-systems,01/01/2000,03/20/2023
126,Electric Vehicles Tax Credit (Personal),DC,Financial Incentive,Personal Tax Credit,https://programs.dsireusa.org/system/program/detail/22173/electric-vehicles-tax-credit-personal,06/03/2021,03/20/2023
127,Income Tax Deduction for Energy Efficiency Upgrades,ID,Financial Incentive,Personal Tax Deduction,https://programs.dsireusa.org/system/program/detail/1227/income-tax-deduction-for-energy-efficiency-upgrades,07/28/2005,03/20/2023
128,Local Option - Property Tax Exemption for Renewable Energy Systems,AK,Financial Incentive,Property Tax Incentive,https://programs.dsireusa.org/system/program/detail/4449/local-option-property-tax-exemption-for-renewable-energy-systems,11/11/2010,03/20/2023
129,Knoxville Utilities Board - EV Charging station Rebate Program,TN,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/22392/knoxville-utilities-board-ev-charging-station-rebate-program,08/23/2021,03/17/2023
130,Riverland Energy Cooperative - Electric Vehicle Charging Station Rebate,WI,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/22366/riverland-energy-cooperative-electric-vehicle-charging-station-rebate,08/20/2021,03/17/2023
