,Name,State,Category,Policy/Incentive Type,URL,Created,Last Updated
197,Dominion East Ohio (Gas) - Home Performance Program,OH,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/4396/dominion-east-ohio-gas-home-performance-program,10/20/2010,02/28/2023
198,Firelands Electric Cooperative - Residential Energy Efficiency Rebate Program,OH,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/3919/firelands-electric-cooperative-residential-energy-efficiency-rebate-program,01/20/2010,02/28/2023
199,River Falls Municipal Utilities - Residential Energy Efficiency Rebate Program,WI,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/4194/river-falls-municipal-utilities-residential-energy-efficiency-rebate-program,06/04/2010,02/28/2023
200,Commercial & Industrial Bulk Fuel-Fed Wood Pellet Central Heating Systems Rebate Program,NH,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/22502/commercial-industrial-bulk-fuel-fed-wood-pellet-central-heating-systems-rebate-program,02/28/2023,02/28/2023
201,California Solar Initiative - Solar Thermal Program,CA,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/4118/california-solar-initiative-solar-thermal-program,04/30/2010,02/28/2023
202,Focus on Energy - Business Incentive Program,WI,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/1292/focus-on-energy-business-incentive-program,03/09/2006,02/28/2023
203,Residential Bulk-Fed Wood-Pellet Central Boilers and Furnace Rebate Program,NH,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/4251/residential-bulk-fed-wood-pellet-central-boilers-and-furnace-rebate-program,07/13/2010,02/28/2023
204,"Barron Electric Cooperative - ENERGY STAR Appliance, Energy Efficient Lighting, HVAC and Water Heater Rebate Program",WI,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/3276/barron-electric-cooperative-energy-star-appliance-energy-efficient-lighting-hvac-and-water-heater-rebate-program,02/18/2009,02/28/2023
205,Construction and Building Performance Rebate Programs,VT,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/22504/construction-and-building-performance-rebate-programs,02/28/2023,02/28/2023
206,New Jersey Natural Gas - SAVEGREEN Residential Rebate Program,NJ,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/3756/new-jersey-natural-gas-savegreen-residential-rebate-program,11/11/2009,02/24/2023
207,Sales Tax Exemption for Energy-Efficient Products (Sales Tax Holiday),VA,Financial Incentive,Sales Tax Incentive,https://programs.dsireusa.org/system/program/detail/2796/sales-tax-exemption-for-energy-efficient-products-sales-tax-holiday,11/13/2007,02/24/2023
208,Local Option - Sales and Use Tax Exemption for Renewable Energy Systems,CO,Financial Incentive,Sales Tax Incentive,https://programs.dsireusa.org/system/program/detail/2502/local-option-sales-and-use-tax-exemption-for-renewable-energy-systems,04/27/2007,02/24/2023
209,Local Option - Property Tax Exemption for Renewable Energy Systems,CO,Financial Incentive,Property Tax Incentive,https://programs.dsireusa.org/system/program/detail/2501/local-option-property-tax-exemption-for-renewable-energy-systems,04/27/2007,02/24/2023
210,Residential Renewable Energy Income Tax Credit,MA,Financial Incentive,Personal Tax Credit,https://programs.dsireusa.org/system/program/detail/144/residential-renewable-energy-income-tax-credit,01/01/2000,02/24/2023
211,City of Danville Utilities - Residential Energy Efficiency Rebate Program,VA,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/4928/city-of-danville-utilities-residential-energy-efficiency-rebate-program,07/25/2011,02/24/2023
212,Eau Claire Energy Cooperative - Residential Energy Efficiency Rebate Program,WI,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/3194/eau-claire-energy-cooperative-residential-energy-efficiency-rebate-program,01/01/2009,02/24/2023
